;Damião;Padre Policarpo;Genoveva Pia;Dona Bembém;Barão;Donana Jansen;Dr. Lustosa;Deus;Samuel;Chico Laurentino;Nhá-Biló;Senhor Bispo;Sinhá Velha;Dom Manuel;Vossa Reverendíssima;Chico Benedito;Susana;Cotinha;Dona Ana Rosa;Julião
Damião;0;39;9;6;14;4;10;17;3;2;9;11;4;11;1;9;5;8;5;0
Padre Policarpo;39;0;3;1;1;1;0;4;0;0;0;4;0;7;1;0;1;2;0;0
Genoveva Pia;9;3;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Dona Bembém;6;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0
Barão;14;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2
Donana Jansen;4;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0
Dr. Lustosa;10;0;0;0;0;0;0;2;0;5;2;2;2;3;0;0;0;0;0;0
Deus;17;4;3;0;1;0;2;0;0;0;0;1;0;1;1;1;0;0;1;0
Samuel;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Chico Laurentino;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
Nhá-Biló;9;0;0;0;0;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0
Senhor Bispo;11;4;0;0;0;1;2;1;0;0;3;0;2;1;1;0;0;0;0;0
Sinhá Velha;4;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;0;0;0;0
Dom Manuel;11;7;0;0;0;0;3;1;0;0;0;1;0;0;3;0;0;0;0;0
Vossa Reverendíssima;1;1;0;0;0;1;0;1;0;0;0;1;0;3;0;0;0;0;0;0
Chico Benedito;9;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Susana;5;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
Cotinha;8;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0
Dona Ana Rosa;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Julião;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
